"Old"	"New"
G1	acrR
G2	acrA
G3	acrB
G4	micF
G5	ada
G6	alkB
G7	alkA
G8	aidB
G9	adiY
G10	adiA
G11	agaR
G12	kbaY
G13	agaB
G14	agaC
G15	agaV
G16	agaS
G17	agaD
G18	agaI
G19	kbaZ
G20	alaS
G21	allR
G22	glxK
G23	ybbY
G24	allB
G25	ybbW
G26	ybbV
G27	glxR
G28	hyi
G29	allA
G30	allS
G31	gcl
G32	allE
G33	allC
G34	allD
G35	alpA
G36	intA
G37	rpiR
G38	rpiB
G39	alsC
G40	alsA
G41	alsB
G42	alsE
G43	appY
G44	appC
G45	yccB
G46	appB
G47	hyaF
G48	hyaE
G49	hyaD
G50	hyaC
G51	hyaB
G52	hyaA
G53	appA
G54	araC
G55	araB
G56	araA
G57	araD
G58	araE
G59	araF
G60	xylB
G61	araH
G62	araJ
G63	xylA
G64	araG
G65	arcA
G66	moeB
G67	cydA
G68	cydB
G69	cyoA
G70	cyoB
G71	cyoC
G72	cyoD
G73	cyoE
G74	fadA
G75	fadB
G76	fadL
G77	fnr
G78	fumA
G79	fumB
G80	fumC
G81	glpA
G82	glpB
G83	glpC
G84	glpD
G85	gltA
G86	hemA
G87	icd
G88	rpoS
G89	lpd
G90	mdh
G91	ndh
G92	oppA
G93	oppB
G94	oppC
G95	oppD
G96	oppF
G97	pflB
G98	prfA
G99	nuoH
G100	nuoI
G101	nuoJ
G102	nuoK
G103	nuoL
G104	nuoN
G105	treB
G106	gadX
G107	acnB
G108	gatA
G109	gatB
G110	gatC
G111	gatD
G112	gatY
G113	prmC
G114	puuR
G115	caiE
G116	dctA
G117	glcB
G118	xylR
G119	gadA
G120	glcF
G121	fadE
G122	ybdN
G123	dcuC
G124	rutG
G125	rutF
G126	rutE
G127	rutD
G128	rutC
G129	rutB
G130	rutA
G131	iraM
G132	puuA
G133	puuD
G134	tpx
G135	gatZ
G136	fadJ
G137	fadI
G138	glcA
G139	glcG
G140	glcE
G141	glcD
G142	hybO
G143	cydC
G144	aceA
G145	aceB
G146	aceE
G147	aceF
G148	aceK
G149	ackA
G150	aldA
G151	betA
G152	betB
G153	betI
G154	betT
G155	cadA
G156	cadB
G157	moeA
G158	ptsG
G159	rplB
G160	rplC
G161	rplD
G162	rplP
G163	rplV
G164	rplW
G165	rpmC
G166	rpsC
G167	rpsJ
G168	rpsQ
G169	rpsS
G170	sdhA
G171	sdhB
G172	sdhC
G173	sdhD
G174	sodA
G175	ssb
G176	sucA
G177	sucB
G178	sucC
G179	sucD
G180	uvrA
G181	focA
G182	rhaT
G183	acnA
G184	ubiC
G185	ubiA
G186	treC
G187	cydD
G188	fadD
G189	caiD
G190	caiC
G191	caiB
G192	caiA
G193	caiT
G194	ydeA
G195	nuoM
G196	nuoF
G197	yfiD
G198	hybA
G199	hybB
G200	hybC
G201	hybD
G202	hybE
G203	hybF
G204	hybG
G205	lldP
G206	lldR
G207	lldD
G208	nuoA
G209	nuoB
G210	nuoC
G211	nuoE
G212	nuoG
G213	argP
G214	recF
G215	nrdB
G216	nrdA
G217	dnaN
G218	dnaA
G219	dapB
G220	argO
G221	argR
G222	argA
G223	gltF
G224	argE
G225	argH
G226	rimP
G227	rbfA
G228	truB
G229	rpsO
G230	pnp
G231	nusA
G232	infB
G233	hisP
G234	gltD
G235	gltB
G236	carB
G237	artP
G238	artI
G239	artQ
G240	artM
G241	artJ
G242	hisJ
G243	hisQ
G244	metY
G245	astE
G246	astB
G247	astD
G248	astA
G249	astC
G250	hisM
G251	argB
G252	argC
G253	argD
G254	argF
G255	argG
G256	argI
G257	carA
G258	arsR
G259	arsC
G260	arsB
G261	ascG
G262	ascB
G263	ascF
G264	htpG
G265	prpR
G266	asnC
G267	asnA
G268	mnmG
G269	mioC
G270	atoC
G271	atoD
G272	atoA
G273	atoE
G274	atoB
G275	baeR
G276	mdtC
G277	mdtB
G278	mdtA
G279	spy
G280	mdtD
G281	baeS
G282	acrD
G283	ycaC
G284	bglJ
G285	bglG
G286	bglF
G287	bglB
G288	birA
G289	bioD
G290	bioC
G291	bioB
G292	bioA
G293	bioF
G294	bolA
G295	ampC
G296	dacC
G297	cadC
G298	caiF
G299	fixA
G300	fixC
G301	fixX
G302	fixB
G303	cbl
G304	ssuB
G305	tauD
G306	tauA
G307	tauB
G308	ssuE
G309	ssuC
G310	ssuD
G311	ssuA
G312	tauC
G313	cdaR
G314	garL
G315	garK
G316	garR
G317	gudP
G318	garP
G319	rnpB
G320	gudD
G321	gudX
G322	garD
G323	chbR
G324	chbB
G325	chbC
G326	chbG
G327	chbF
G328	chbA
G329	cpxR
G330	yjeP
G331	cpxP
G332	aroG
G333	cheA
G334	cheW
G335	cpxA
G336	lpxD
G337	hha
G338	hlpA
G339	degP
G340	lpxA
G341	motA
G342	motB
G343	ompC
G344	ompF
G345	ppiA
G346	psd
G347	rpoH
G348	smpA
G349	tsr
G350	ung
G351	dsbC
G352	yccA
G353	fabZ
G354	dsbA
G355	csgA
G356	ydeH
G357	bacA
G358	yidQ
G359	yebE
G360	rdoA
G361	rpoE
G362	rseA
G363	tomB
G364	ppiD
G365	csgG
G366	csgF
G367	csgE
G368	csgD
G369	csgB
G370	csgC
G371	ycfS
G372	ftnB
G373	rseC
G374	rseB
G375	yqjA
G376	mzrA
G377	creB
G378	creD
